"exp","id","isold","rating","excluding"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
"HDM2006_e1","HDM2006_e1_1",1,4,"Include"
