"exp","id","condition1","isold","rating","excluding"
"AP2007_e3","AP2007_e3_2","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_2","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_3","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_4","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_5","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_6","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_7","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
