"exp","id","condition1","isold","rating","excluding"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",1,6,"Include"
